ID,Lat,Long,Name
L159,34.14849050000001,-118.152467,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipO5_EH0a7qT759yb7dUSyQHPA1gfjA6TyJikGl6=w408-h240-k-no-pi-0-ya97-ro-0-fo100"" , ""link"")"
L160,34.15032869999999,-118.1456776,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8hmFwPm8rhbgyAwRAPHmlQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=201.05875&pitch=0&thumbfov=100"" , ""link"")"
L161,34.1452299,-118.1539433,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wLD8R_zAmcXe9_GTlXVSmA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=68.98653&pitch=0&thumbfov=100"" , ""link"")"
L162,34.1471425,-118.1521735,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipNiOaMdWJ1X9uMuSogh6ATkCcA4ao-tbRRaxJj9=w408-h725-k-no"" , ""link"")"
L163,34.1451734,-118.1537391,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wLD8R_zAmcXe9_GTlXVSmA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=68.98653&pitch=0&thumbfov=100"" , ""link"")"
L164,34.1467475,-118.1522077,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Xkkt9PaOZhVKlsEFBiBJ_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=130.51196&pitch=0&thumbfov=100"" , ""link"")"
L165,34.147099,-118.1513249,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qV45pVLiqt9F8V9h4OaeMg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=173.99577&pitch=0&thumbfov=100"" , ""link"")"
L166,34.148756,-118.1502112,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xAz51bCqOhFxeDmjy3gTpA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=44.018127&pitch=0&thumbfov=100"" , ""link"")"
L167,34.145079,-118.1527709,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1m1Fg7QRVEWBTTZBVxdLmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=280.52304&pitch=0&thumbfov=100"" , ""link"")"
L168,34.1478245,-118.1502838,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LiklfFAesTyFJjQc9YQGHg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.99885&pitch=0&thumbfov=100"" , ""link"")"
L169,34.1449776,-118.1523284,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1m1Fg7QRVEWBTTZBVxdLmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=280.52304&pitch=0&thumbfov=100"" , ""link"")"
L170,34.1488232,-118.149297,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2OtO11yvQ02ZxrUnv5NRcw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=280.87027&pitch=0&thumbfov=100"" , ""link"")"
L171,34.1488037,-118.1491333,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2OtO11yvQ02ZxrUnv5NRcw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=280.87027&pitch=0&thumbfov=100"" , ""link"")"
L172,34.1447468,-118.1514834,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aoQpVqwblx38lMyfJMDsCw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=351.74625&pitch=0&thumbfov=100"" , ""link"")"
L173,34.1466775,-118.1495607,,default
L174,34.14609470000001,-118.1499195,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pzEt1ZvPIMunXmZY541HTA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=358.47556&pitch=0&thumbfov=100"" , ""link"")"
L175,34.144626,-118.1510905,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=njSyOKBDEFcxPiMafbQqaA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=16.581757&pitch=0&thumbfov=100"" , ""link"")"
L176,34.1451815,-118.1503116,,default
